question,expected,actual_1,actual_2,actual_3,verdict
What is the Golden Mask used for in Stardew Valley?,The Golden Mask is used in tailoring to create the Golden Mask hat.,"The Golden Mask is an artifact found in the desert or in Artifact Troves. It can be donated to the Museum for a reward, used in the sewing machine to craft the Golden Mask (hat), or as yellow dye in dye pots. It's not required for any quests or bundles.","The Golden Mask is mostly used for tailoring. When combined with Cloth at a sewing machine, it creates the Golden Mask (hat). It can also serve as a yellow dye in the dye pots at Emily and Haley's house. It is not used in any quests or bundles.",The Golden Mask is primarily used in tailoring to create the Golden Mask hat when combined with Cloth at a sewing machine. It can also serve as a yellow dye at the dye pots in Emily and Haley's house.,PASS
How can you obtain the Golden Mask hat?,The Golden Mask hat can be tailored using Cloth and the Golden Mask artifact at a sewing machine.,"You can obtain the Golden Mask hat by tailoring it at the sewing machine found in Emily's house or the one you receive for completing the ""Rock Rejuvenation"" special order. You'll need one Cloth and the Golden Mask artifact to make it.","You can tailor the Golden Mask hat using cloth and a Golden Mask artifact at the sewing machine in Emily's house or the Sewing Machine you receive from the ""Rock Rejuvenation"" special order.","The Golden Mask hat can be tailored using Cloth and a Golden Mask artifact at the sewing machine in Emily's house or using a Sewing Machine obtained from the ""Rock Rejuvenation"" special order.",PASS
What is the source of the Starry Moon Rug in Stardew Valley?,The Starry Moon Rug is available from the Wizard Catalogue.,The Starry Moon Rug is a piece of furniture available from the Wizard's Catalogue.,The Starry Moon Rug can be obtained from the Wizard's Catalogue.,The Starry Moon Rug is a piece of furniture available for purchase from the Wizard Catalogue.,PASS
Can the Starry Moon Rug in Stardew Valley be sold?,The Starry Moon Rug cannot be sold.,The Starry Moon Rug cannot be sold.,The Starry Moon Rug cannot be sold.,The Starry Moon Rug cannot be sold.,PASS
What does the furnace turn ore and coal into in Stardew Valley?,The furnace turns ore and coal into metal bars.,"A furnace smelts ores and coal into metal bars. For example, 5 ores (like copper, iron, or gold) and 1 coal produce 1 metal bar. Smelting times vary based on the ore type, such as copper taking 30 in-game minutes or iridium taking 8 hours.","A furnace converts ores and coal into metal bars, used for crafting and upgrades. For instance, smelting 5 Copper Ore and 1 Coal produces a Copper Bar, taking 30 in-game minutes. The same applies to other ores like Iron, Gold, and Iridium, each with varying smelting times.","The furnace smelts ores into bars using coal. For example, 5 units of copper ore and 1 coal make a copper bar, while other ores like iron, gold, and iridium follow a similar process.",PASS
How does the player get the furnace blueprint in Stardew Valley?,The player gets the furnace blueprint from Clint in a cutscene after collecting at least 1 Copper Ore.,"You can get the furnace blueprint in the morning cutscene after collecting at least 1 Copper Ore. To trigger this, exit your farmhouse between 6:00 AM and 11:30 AM. The Copper Ore can be obtained by mining, finding it in fishing treasure chests, or buying it directly from Clint.","The furnace blueprint is given by Clint in a cutscene the morning after you collect at least one Copper Ore. To trigger the cutscene, exit your farmhouse between 6:00 AM and 11:30 AM. The Copper Ore can come from any source, such as mining, fishing treasure chests, or purchasing from Clint.","The furnace blueprint is given by Clint in a cutscene after the player collects at least 1 Copper Ore. To trigger the cutscene, exit the farmhouse between 6:00 AM and 11:30 AM the following day. The Copper Ore can come from mining, fishing treasure chests, or purchasing it from Clint.",PASS
What is the growth time for Hops Starter in Stardew Valley?,The growth time for Hops Starter is 11 days.,"Hops Starter takes 11 days to reach maturity. Once mature, it produces Hops daily with a regrowth time of 1 day.","Hops Starter takes 11 days to grow to maturity. Once mature, it produces Hops every day with a regrowth cycle of 1 day.","Hops Starter takes 11 days to fully mature, and once matured, it produces Hops every day.",PASS
In which season can Hops Starter be planted?,Hops Starter can be planted in the summer.,Hops Starter can be planted during the summer season.,Hops Starter can be planted in the summer season.,Hops Starter can be planted during the summer season.,PASS
How much does the Decorative Bowl cost at the Furniture Catalogue?,The Decorative Bowl costs 0g at the Furniture Catalogue.,"The Decorative Bowl costs 0g when purchased from the Furniture Catalogue, meaning it's free from there.","The Decorative Bowl costs **0g** when obtained from the Furniture Catalogue, allowing you to acquire it in unlimited quantities.","The Decorative Bowl costs 0g when obtained from the Furniture Catalogue, allowing you to acquire it in unlimited quantities.",PASS
Can the Decorative Bowl be sold?,The Decorative Bowl cannot be sold.,The Decorative Bowl cannot be sold. It is purely a decorative item for your home.,"No, the Decorative Bowl cannot be sold.",The Decorative Bowl cannot be sold. It’s purely a decorative item.,PASS
What is the Joja Vault in Stardew Valley?,The Joja Vault is a piece of furniture available from the Joja Furniture Catalogue.,The Joja Vault is a furniture item available through the Joja Furniture Catalogue. It appears to be decorative and cannot be sold. Let me know if you'd like more details!,The Joja Vault is a piece of furniture available for purchase from the Joja Furniture Catalogue. It appears to be purely decorative and cannot be sold back once acquired.,"The Joja Vault appears to be a furniture item available through the Joja Furniture Catalogue. Beyond that, no significant additional in-game functionality or lore for the ""Joja Vault"" was provided. Do you need help with anything else?",PASS
How much does the Joja Vault cost in Stardew Valley?,The Joja Vault costs 0g.,"It seems there's no clear result for a ""Joja Vault cost."" Can you clarify if you're asking about a specific upgrade, the Joja Warehouse, or another feature?",It seems I couldn't find any specific cost listed for the Joja Vault from available information. Could you clarify if you're asking about an in-game upgrade or a decorative item?,The Joja Vault itself doesn't appear to be a structure that's purchased directly with a clear cost. Could you clarify if you're asking about the vault in relation to a Joja membership or a specific project?,FAIL
What is the processing time for making juice in a keg in Stardew Valley?,The processing time for making juice in a keg is approximately 4 days.,"The processing time for making juice in a keg is 6,000 in-game minutes, which is approximately 4 days.","Making juice in a keg takes 6,000 in-game minutes, which equals about 4 days.","Making juice in a keg takes 6,000 in-game minutes, which is equivalent to 4 days.",PASS
Which vegetables cannot be made into juice in Stardew Valley?,"Wheat, Hops, and Tea Leaves cannot be made into juice in Stardew Valley.","Some vegetables classified as such can't be made into juice in a keg because they produce different artisan goods. Specifically:

- **Wheat** produces Beer.
- **Hops** produces Pale Ale.
- **Tea Leaves** produces Green Tea.

These exceptions occur due to their unique properties and not being treated as standard vegetables during processing.","Not all vegetables can be turned into juice, as Wheat, Hops, and Tea Leaves produce Beer, Pale Ale, and Green Tea, respectively, when processed in a keg. These exceptions differ from the usual vegetable-to-juice conversion.","Vegetables that cannot be made into juice include wheat, hops, and tea leaves. These are categorized as vegetables but produce different drinks when placed in a keg: beer, pale ale, and green tea respectively.",FAIL
Where can dyeing of clothing be done in Stardew Valley?,Dyeing of clothing can be done at Emily's house.,"Dyeing clothing can be done at Emily's house, located at 2 Willow Lane. There, you will find Dye Pots and a Sewing Machine that can be used for dyeing and tailoring after unlocking them by obtaining at least 1 Cloth and triggering a cutscene with Emily.","Dyeing of clothing can be done in Emily's house at 2 Willow Lane using either the dye pots or the sewing machine. Both methods allow you to change the color of your clothing, but they require different materials and processes.","You can dye clothing at Emily's house, located at 2 Willow Lane. There, you can use either the dye pots or the sewing machine to change the color of your clothing. Both methods become available after a cutscene with Emily, triggered once you obtain at least one piece of cloth.",PASS
What items can be used to create dye in the dye pots?,"Items with a color dot in the bottom left corresponding to red, orange, yellow, green, blue, or purple pots can be used to create dye in the dye pots.","Items used in dye pots are color-coded, including red, orange, yellow, green, blue, and purple. Examples include fruits, gems, flowers, and various artifacts. Hover over each pot to see which inventory items match its color. Items consumed during the process don't need specific quality. Specific examples include apples (red), pumpkins (orange), sunflowers (yellow), and amethysts (purple).","The dye pots in Emily's house accept a variety of items categorized by their colors: red, orange, yellow, green, blue, or purple. Items like flowers, fruits, gems, and artisan goods (e.g., wine or jelly) match specific colors and are consumed in the process. Each item's color is indicated by a dot in its inventory icon. Rings and specific rare items can also be used. Let me know if you'd like a detailed example for any color.","Items that can be used to create dye in the dye pots span every color (red, orange, yellow, green, blue, and purple). Items include crops, gems, fish, artisan goods, and even rings. Each item's dyeable color is identified by a dot in your inventory. The full variety is quite extensive, so feel free to ask for specific examples by color!",FAIL
When was the 'Solar Kingdom' item introduced to Stardew Valley?,The 'Solar Kingdom' item was introduced in Stardew Valley version 1.3.27.,"The ""Solar Kingdom"" item was introduced in version 1.3.27.",The 'Solar Kingdom' item was introduced in version 1.3.27.,The 'Solar Kingdom' item was introduced in version 1.3.27.,PASS
How much does the 'Solar Kingdom' cost to purchase?,"The 'Solar Kingdom' costs 1,200g to purchase.","The 'Solar Kingdom' costs 1,200g and can be purchased from Famous Painter Lupini during the Night Market on Winter 17.","The ""Solar Kingdom"" wall furniture can be purchased for 1,200g. It is available from Famous Painter Lupini's stock at the Night Market on Winter 17, starting in year 1 and reappearing every three years.","The 'Solar Kingdom' costs 1,200g and can be purchased at the Night Market on Winter 17, starting in Year 1.",PASS
How many minerals can be donated to the Museum in Stardew Valley?,There are 53 different minerals which can be donated to the Museum.,A total of 53 different minerals can be donated to the Museum.,You can donate a total of 53 different minerals to the Museum.,You can donate a total of 53 different minerals to the Museum.,PASS
What must be done with unopened Geodes before they can be used for their contents?,Geodes must be processed either using a Geode Crusher or at the Blacksmith to obtain the minerals inside.,"Unopened Geodes must be processed to reveal their contents. This can be done either at the Blacksmith, where Clint charges 25g per Geode, or by using a Geode Crusher on your farm, which requires crafting after obtaining its recipe.","Unopened geodes must be processed to access their contents. You can either take them to the Blacksmith, who charges 25g per geode, or use a Geode Crusher on your farm (once available) for free.","Unopened Geodes must be processed before accessing their contents. You can have them broken open by Clint at the Blacksmith for a fee of 25g each or use a Geode Crusher, which is free once unlocked.",FAIL
How can the ??? hat be obtained?,The ??? hat can be obtained by interacting with a monkey in the Volcano Caldera after achieving 100% Perfection.,"The ""???"" hat can be obtained by interacting with the monkey in the Volcano Caldera after achieving 100% Perfection.","The ""???"" hat can be obtained by interacting with the monkey in the Volcano Caldera after achieving 100% Perfection.","The ""???"" hat can be obtained by interacting with the monkey in the Volcano Caldera once you have achieved 100% Perfection on your farm.",PASS
Where can a replacement for the ??? hat be purchased if lost?,"A replacement for the ??? hat can be purchased at the Lost Items Shop in the Secret Woods for 10,000g.","If the ""???"" hat is lost, you can purchase a replacement at the Lost Items Shop in the Secret Woods for 10,000g.","A replacement for the ""???"" hat can be purchased at the Lost Items Shop in the Secret Woods for 10,000g if the original is lost.","If the ??? hat is lost, a replacement can be purchased at the Lost Items Shop in the Secret Woods for 10,000g.",PASS
Where can Beet Seeds be purchased?,Beet Seeds can be purchased at the Oasis and occasionally from the Traveling Cart.,"Beet Seeds can be purchased from the Oasis for 20g or occasionally from the Traveling Cart (100–1,000g). They can also be found in treasure rooms in the Skull Cavern or made using a Seed Maker.","Beet Seeds can be purchased at the Oasis for 20g each and occasionally from the Traveling Cart, where prices range from 100–1,000g. They can also be obtained through the Seed Maker or found in treasure rooms in Skull Cavern.","Beet Seeds can be purchased from the Oasis for 20g. They are also occasionally available from the Traveling Cart for 100–1,000g.",PASS
How long does it take for Beet Seeds to mature?,Beet Seeds take 6 days to mature.,Beet Seeds take 6 days to fully mature after planting.,Beet Seeds take 6 days to mature.,Beet Seeds take 6 days to mature.,PASS
What is the initial amount of gold that players start with in Stardew Valley?,All players start with 500g.,Players start with 500 gold at the beginning of the game.,All players start with 500 gold in their initial balance.,Players start with 500 gold in their wallet.,PASS
Where is the amount of gold a player has displayed in the game?,"The amount of gold a player has is displayed at the top right of the screen, directly below the time.","The amount of gold a player has is displayed at the top right of the screen, directly below the time.","The amount of gold you have is displayed at the top-right corner of the gameplay screen, directly below the time. You can also check your ""Total Earnings"" and ""Current Funds"" in the Inventory screen within the pause menu.","The amount of gold you have is displayed at the top-right corner of the screen, directly beneath the in-game time.",PASS
Where can 'Frozen Dreams' be purchased?,"'Frozen Dreams' can be purchased from the Traveling Merchant's shop at the Festival of Ice for 2,000g or from the Furniture Catalogue for 0g.","'Frozen Dreams' can be purchased at the Festival of Ice from the Traveling Merchant for 2,000g. Alternatively, it is available for free through the Furniture Catalogue.","The ""Frozen Dreams"" wall decoration can be purchased for 2,000g at the Traveling Merchant's shop during the Festival of Ice. It’s also available for free from the Furniture Catalogue.","The ""Frozen Dreams"" wall furniture can be purchased for 2,000g from the Traveling Merchant's shop during the Festival of Ice. It's also available for free through the Furniture Catalogue.",PASS
Can 'Frozen Dreams' be placed outdoors?,'Frozen Dreams' can't be placed outdoors.,"'Frozen Dreams' is a wall-mounted furniture item, so it cannot be placed outdoors. It's designed solely for indoor placement on walls.","'Frozen Dreams' is a wall-hanging painting, and paintings generally cannot be placed outdoors.","No, the 'Frozen Dreams' painting cannot be placed outdoors. All paintings are only designed for indoor use.",PASS
What is required to make cloth using the Loom in Stardew Valley?,Cloth is made from one Wool using the Loom in Stardew Valley.,"To make cloth using a loom, you'll need wool as an input. It takes 4 in-game hours to process, and higher-quality wool increases the chance of producing 2 cloth. Silver wool has a 10% chance, gold wool has a 50% chance, and iridium-quality wool guarantees 2 cloth.","To make cloth using the Loom, you'll need one piece of wool as input. The processing takes four in-game hours. The quality of the wool affects the chance of producing two pieces of cloth. Silver-quality wool provides a 10% chance, gold gives 50%, and iridium guarantees 100% for double cloth.","To make cloth using a Loom, you'll need Wool. It takes 4 in-game hours to process the Wool into Cloth. Using higher quality Wool (Silver, Gold, or Iridium) increases your chances of producing double Cloth.",FAIL
Who loves receiving cloth as a gift in Stardew Valley?,Emily loves receiving cloth as a gift in Stardew Valley.,Emily loves receiving cloth as a gift.,"Emily loves receiving cloth as a gift, and she may even send you cloth in the mail as a friendly gesture.",Emily loves receiving cloth as a gift.,PASS
What is the sell price of the Immunity Band in Stardew Valley?,The sell price of the Immunity Band is 250g.,The Immunity Band can be sold for 250g.,The sell price of the Immunity Band is 250g.,The Immunity Band sells for 250g.,PASS
Where can the Immunity Band be used as a dye in Stardew Valley?,The Immunity Band can be used as a purple dye at the dye pots in Emily's and Haley's house at 2 Willow Lane.,"The Immunity Band can be used as a purple dye at the dye pots in Emily and Haley's house, located at 2 Willow Lane.",The Immunity Band can be used as a purple dye in the dye pots located in Emily and Haley's house at 2 Willow Lane.,The Immunity Band can be used as a purple dye in the dye pots located in Emily and Haley's house at 2 Willow Lane.,PASS
Where can the Birch Bench be purchased for 750g?,The Birch Bench can be purchased at the Carpenter's Shop for 750g.,The Birch Bench can be purchased for 750g at the Carpenter's Shop when it appears in their rotating stock. It is also available in the Furniture Catalogue for free after purchase.,The Birch Bench can be purchased for 750g from the Carpenter's Shop when it rotates into their daily stock.,The Birch Bench can be purchased for 750g at the Carpenter's Shop when it rotates into daily stock.,PASS
In which farmhouse types does the Birch Bench appear by default in Stardew Valley?,The Birch Bench appears by default in the Beach and Four Corners farmhouses.,The Birch Bench appears by default in farmhouses when starting on the Beach Farm (one bench) or the Four Corners Farm (two benches).,"The Birch Bench appears by default in the farmhouse for players who choose the Beach Farm map or the Four Corners Farm map. The Beach Farm starts with one Birch Bench, while the Four Corners Farm includes two.",The Birch Bench appears by default in the farmhouse when choosing either the Beach Farm or the Four Corners Farm.,PASS
What is the crafting recipe for Fall Seeds?,"The crafting recipe for Fall Seeds requires 1 Blackberry, 1 Common Mushroom, 1 Hazelnut, and 1 Wild Plum.","The crafting recipe for Fall Seeds requires the following ingredients:

- 1 Common Mushroom
- 1 Wild Plum
- 1 Hazelnut
- 1 Blackberry

You will unlock the recipe at Foraging Level 6, and crafting produces 10 Fall Seeds.","The crafting recipe for Fall Seeds (labeled as ""Wild Seeds (Fa)"" in the crafting menu) requires 1 Common Mushroom, 1 Wild Plum, 1 Hazelnut, and 1 Blackberry. You need to have reached Foraging Level 6 to unlock this recipe.","The crafting recipe for Fall Seeds, also labeled as ""Wild Seeds (Fa),"" requires:

- 1 Common Mushroom  
- 1 Wild Plum  
- 1 Hazelnut  
- 1 Blackberry  

Once crafted, this produces 10 Fall Seeds. The recipe is unlocked at Foraging Level 6.",PASS
How long does it take for Fall Seeds to grow?,Fall Seeds take 7 days to grow.,Fall Seeds take a total of 7 days to grow: 3 days for the first growth stage and 4 days for the second.,"Fall Seeds take a total of 7 days to grow, with 3 days for the first stage and 4 days for the second stage.",Fall Seeds take 7 days to grow.,PASS
What is Caroline's birthday in Stardew Valley?,Caroline's birthday is Winter 7.,Caroline's birthday is on Winter 7.,Caroline's birthday is on Winter 7.,Caroline's birthday is Winter 7. Gifts you give her on this day will have an 8× effect on friendship points.,PASS
Where does Caroline live in Stardew Valley?,Caroline lives in Pelican Town.,"Caroline lives in Pelican Town inside Pierre's General Store, where she resides with her husband, Pierre, and their daughter, Abigail.",Caroline lives in Pelican Town with her husband Pierre and daughter Abigail at Pierre's General Store.,"Caroline lives in Pelican Town with her husband, Pierre, and their daughter, Abigail, at Pierre's General Store.",PASS
How much does the Green Couch cost at the Carpenter's Shop?,"The Green Couch costs 1,750g at the Carpenter's Shop.","The Green Couch costs 1,750g when available at the Carpenter's Shop.","The Green Couch costs 1,750g at the Carpenter's Shop when it appears in the rotating stock.","The Green Couch costs 1,750g at the Carpenter's Shop when it appears in their rotating stock.",PASS
Can the Green Couch be placed outdoors?,The Green Couch cannot be placed outdoors.,"No, the Green Couch cannot be placed outdoors. Only specific outdoor-compatible furniture, like the Moldy Couch, can be placed outside.","No, the Green Couch cannot be placed outdoors. Only the Moldy Couch is an exception among couches for outdoor placement.","No, couches, including the Green Couch, cannot be placed outdoors. Only certain furniture, such as chairs, can be placed outside.",PASS
How long does it take for Eggplant Seeds to mature?,Eggplant Seeds take 5 days to mature.,"Eggplant Seeds take 5 days to mature and start producing crops. After maturity, they regrow and yield an Eggplant every 5 days.",Eggplant Seeds take 5 days to mature and will continue to produce additional eggplants every 5 days after maturity.,Eggplant Seeds take 5 days to mature and continue producing every 5 days after reaching maturity.,PASS
Where can Eggplant Seeds be purchased on Winter 17?,Eggplant Seeds can be purchased at the Magic Shop Boat at the Night Market on Winter 17.,"On Winter 17, you can purchase Eggplant Seeds from the Magic Shop Boat at the Night Market.","On Winter 17, you can purchase Eggplant Seeds from the Magic Shop Boat at the Night Market.","On Winter 17, you can purchase Eggplant Seeds from the Magic Shop Boat at the Night Market.",PASS
Where can the Clouds Banner be purchased?,"The Clouds Banner can be purchased for 1,000g from the Decoration Boat at the Night Market.","The Clouds Banner can be purchased for 1,000g from the Decoration Boat at the Night Market. It is also available for free from the Furniture Catalogue.","The Clouds Banner can be purchased for 1,000g from the Decoration Boat at the Night Market. It is also available for free from the Furniture Catalogue if you've unlocked it.","The Clouds Banner can be purchased for 1,000g from the Decoration Boat at the Night Market. It's also available from the Furniture Catalogue for free if you own it.",PASS
Can the Clouds Banner be placed outdoors?,"No, the Clouds Banner cannot be placed outdoors.",The Clouds Banner is a decorative piece of furniture that hangs on walls indoors. It cannot be placed outdoors. Let me know if you'd like details about obtaining or using it!,"The Clouds Banner is a decorative wall item, but no evidence suggests it can be placed outdoors. Most wall decorations are typically limited to interior placement.",The Clouds Banner is a decorative item that hangs on walls and cannot be placed outdoors. It must be used indoors.,PASS
Where can the Magic Hair Gel trinket be obtained?,The Magic Hair Gel can only be purchased from Alex's shop in the Desert Festival.,"The Magic Hair Gel trinket can be obtained by purchasing it from Alex's shop at the Desert Festival for 100 Calico Eggs. It is unique since it is not dropped by enemies, crates, barrels, or Skull Cavern treasure chests.","The Magic Hair Gel trinket can be purchased from Alex's shop at the Desert Festival for 100 Calico Eggs. It is not obtainable from enemies, crates, barrels, or treasure chests.",The Magic Hair Gel trinket can only be purchased at Alex's shop during the Desert Festival. It costs 100 Calico Eggs. It is unique and cannot be found as a drop or in treasure chests.,PASS
"What can all trinkets, except the Basilisk Paw and Magic Hair Gel, be re-forged at an anvil for?","All Trinkets, with the exceptions of the Basilisk Paw and the Magic Hair Gel, can be re-forged on an Anvil to randomize their stats and this costs 3 Iridium Bars per re-roll.","All trinkets, except the Basilisk Paw and the Magic Hair Gel, can be re-forged at an anvil to randomize their stats. Each re-forge costs 3 Iridium Bars.","All trinkets, except the Basilisk Paw and Magic Hair Gel, can be re-forged at an anvil to randomize their stats. This process costs 3 Iridium Bars per re-roll.","All trinkets, except the Basilisk Paw and Magic Hair Gel, can be reforged at an anvil for rerolling their stats. This process costs 3 Iridium Bars per reroll. Let me know if you'd like more details!",PASS
What happens to a Jack-O-Lantern outside during winter in Stardew Valley?,It becomes a Rotten Plant.,"On the 1st of Winter, any Jack-O-Lanterns left outside automatically turn into Rotten Plants. To preserve them, store them in a chest or your inventory before the season changes.","On the 1st of Winter, a Jack-O-Lantern left outside automatically turns into a Rotten Plant. To preserve it, you can store it in your inventory or a chest before the season changes.","On the 1st of Winter, a Jack-O-Lantern left outdoors turns into a Rotten Plant. To avoid this, store it in a chest or your inventory before winter starts.",PASS
How many points are trash items worth in the fishing minigame at the Stardew Valley Fair?,Trash items are worth one point in the fishing minigame at the Stardew Valley Fair.,Trash items caught during the fishing minigame at the Fall Fair are worth **1 point** each.,"In the fishing minigame at the fair, trash items are worth 1 point each.","In the fishing minigame at the Stardew Valley Fair, trash items are worth 1 point each.",PASS
Where can the China Cabinet be purchased for free?,The China Cabinet can be purchased for free from the Furniture Catalogue.,The China Cabinet can be obtained for free from the Furniture Catalogue.,"The China Cabinet can be obtained for free from the Furniture Catalogue, which allows you to purchase unlimited furniture items for 0g once you place it in your home.","The China Cabinet can be obtained for free from the Furniture Catalogue, which is purchasable at the Carpenter’s Shop for 200,000g. Once you own the Furniture Catalogue, you can acquire the China Cabinet and other furniture at no additional cost.",PASS
What is the sell price of a China Cabinet?,The China Cabinet cannot be sold.,The China Cabinet cannot be sold.,The China Cabinet cannot be sold.,The China Cabinet cannot be sold.,PASS
What does placing a Dark Sign on a Fish Pond do?,"Placing a Dark Sign on a Fish Pond turns it into a counter of how many fish are inside, with an image of the fish visible on the sign, and the number of fish in the pond in the lower right corner.","Placing a Dark Sign on a Fish Pond displays the image of the fish inside and acts as a counter, showing the number of fish currently in the pond in the lower right corner.","Placing a Dark Sign on a Fish Pond turns it into a counter for the number of fish in the pond. The sign will display the image of the fish, with the total fish count shown in the lower-right corner for quick reference.",Placing a Dark Sign on a Fish Pond displays the number of fish in the pond in the lower right corner of the sign. The sign also shows an image of the type of fish residing in the pond. It functions as a useful visual counter.,PASS
How can the image on a Dark Sign be changed?,The image on a Dark Sign can be changed by holding an item in inventory and right-clicking on the sign while the item is equipped.,You can change the image on a Dark Sign by holding an item in your inventory and right-clicking on the sign while holding the item. This will display the item's image on the sign without consuming the item.,"To change the image on a Dark Sign, hold an item in your inventory and right-click on the sign. The item won't be consumed, and the image of the item will appear on the sign.","To change the image on a Dark Sign, hold an item from your inventory and right-click on the sign. The item won't be consumed, and the chosen item's image will appear on the sign.",PASS
Who lives at 1 River Road in Stardew Valley?,"George, Evelyn, and Alex live at 1 River Road.","1 River Road is home to George, Evelyn, and Alex. It is located southeast of Pierre's General Store and behind the saloon.","1 River Road is the home of George, Evelyn, and Alex. It's located southeast of Pierre's General Store and just behind the saloon.","1 River Road is home to George, Evelyn, and Alex. It's located southeast of Pierre's General Store and behind the saloon.",PASS
What are the open hours for the house at 1 River Road?,The open hours for the house at 1 River Road are from 8am to 8pm.,The house at 1 River Road is open from 8:00 AM to 8:00 PM.,The house at 1 River Road is open from 8:00 AM to 8:00 PM.,The house at 1 River Road is open from 8:00 AM to 8:00 PM.,PASS
What is the duration of the Night Market each day?,The Night Market is open between 5pm and 2am each day.,"The Night Market runs each day from 5:00 PM to 2:00 AM during Winter 15–17. Some attractions, like the Submarine Ride and the Mermaid Boat, close earlier, at 11:00 PM and 12:30 AM respectively.","The Night Market runs daily from 5:00 PM to 2:00 AM during Winter 15–17. However, some attractions, like the Submarine Ride and Mermaid Boat, have earlier closing times: 11:00 PM and 12:30 AM, respectively.",The Night Market runs daily from 5:00 PM to 2:00 AM during Winter 15-17.,PASS
What is special about the Decoration Boat at the Night Market?,The Decoration Boat is the only place where the candy cane decorations can be purchased.,"The Decoration Boat at the Night Market sells a variety of aesthetic items like candy cane decorations, torches, banners, and seasonal decor. It's unique because it offers some decorations, like candy canes, available exclusively there. You can also purchase an unlimited number of any decoration, and they can be placed both indoors and outdoors.","The Decoration Boat at the Night Market sells a variety of aesthetic items you can use to decorate your space. It offers items such as candy cane decorations, seasonal décor, and plants—some of which are exclusive to this boat, like the candy canes. You can buy unlimited quantities, and decorations can be placed both indoors and outdoors.","The Decoration Boat at the Night Market sells a variety of aesthetic decorations that can be placed indoors or outdoors. It is the exclusive place to buy candy cane decorations. Some of its offerings, like Seasonal Decor and Plants, change with the seasons, but they are also available at other events or shops. All items are available in unlimited quantities, allowing for creative decorating.",FAIL
What material is Abby's Planchette made from?,Abby's Planchette is made from fine marblewood.,The available information doesn't specify what material Abby's Planchette is made of. It is a dagger weapon obtainable from her shop at the Desert Festival. Do you want details about its stats or availability instead?,The material of Abby's Planchette isn't explicitly mentioned in the retrieved information. Could you clarify if you're asking about its in-game lore or its design?,"Abby's Planchette is a dagger weapon available during the Desert Festival, but its material isn't explicitly confirmed in the available details. Likely inferred from the theme, it might have a mystical or symbolic origin. Let me know if you'd like help with similar items!",FAIL
How much does Abby's Planchette sell for?,Abby's Planchette sells for 200g.,Abby's Planchette sells for 200g.,Abby's Planchette sells for 200g.,Abby's Planchette sells for 200g.,PASS
"Where can the Mahogany End Table be purchased for 1,000g?","The Mahogany End Table can be purchased at the Carpenter's Shop for 1,000g.","The Mahogany End Table can be purchased for 1,000g at the Carpenter's Shop when it rotates into daily stock. It can also sometimes be found at the Traveling Cart for 250–2,500g.","The Mahogany End Table can be purchased for 1,000g at the Carpenter's Shop when it rotates into the daily stock.","The Mahogany End Table can be purchased for 1,000g when it cycles into the daily stock at the Carpenter's Shop. It can also appear at the Traveling Cart for 250–2,500g or be obtained from the Furniture Catalogue for free.",PASS
Is the Mahogany End Table available from the Furniture Catalogue?,"Yes, the Mahogany End Table is available from the Furniture Catalogue for 0g.","Yes, the Mahogany End Table is available from the Furniture Catalogue at no cost (0g).","Yes, the Mahogany End Table is available from the Furniture Catalogue for free.","Yes, the Mahogany End Table is available from the Furniture Catalogue for free once you purchase the catalogue.",PASS
How long does it take for rice shoots to grow into unmilled rice on irrigated tiles?,It takes 6 days for rice shoots to grow into unmilled rice on irrigated tiles.,Rice shoots grow into unmilled rice in 6 days when planted on irrigated tiles near a water source.,Rice shoots planted on irrigated tiles near water sources take 6 days to grow into unmilled rice. They do not require daily watering.,"Rice shoots grow into unmilled rice in 6 days if planted on irrigated tiles, which are within 3 tiles of a water source.",PASS
What tool is used to harvest unmilled rice?,Unmilled rice is harvested using a scythe.,Unmilled rice is harvested using a scythe.,Unmilled rice is harvested using a scythe.,You need a scythe to harvest unmilled rice.,PASS
Where can the Red Cowboy Hat be obtained?,The Red Cowboy Hat can be obtained from treasure rooms in the Skull Cavern.,"The Red Cowboy Hat can be obtained from treasure rooms in the Skull Cavern with a ~1.92% chance. Alternatively, it may rarely appear in the Mines as a special item from monster drops, crates, or barrels during the ""Danger In The Deep"" quest or after activating the Shrine of Challenge.","The Red Cowboy Hat can be obtained from treasure rooms in the Skull Cavern (≈1.92% chance). It can also rarely drop in the Mines from special monsters, crates, or barrels during the ""Danger In The Deep"" quest or when the Shrine of Challenge is active.","The Red Cowboy Hat can be obtained from treasure rooms in the Skull Cavern with a ~1.92% chance. It may also rarely appear in the Mines from special monster drops, crates, barrels, or during the ""Danger In The Deep"" quest or after activating the Shrine of Challenge.",PASS
Can the Red Cowboy Hat be sold?,The Red Cowboy Hat cannot be sold.,"No, the Red Cowboy Hat cannot be sold.",The Red Cowboy Hat cannot be sold.,The Red Cowboy Hat cannot be sold.,PASS
Where can Cactus Fruit be foraged?,Cactus Fruit can be foraged in the Calico Desert.,"Cactus Fruit can be foraged year-round in the Calico Desert. It has a 50% chance to spawn alongside coconut forageable items, with about two items spawning per night on average.",Cactus Fruit can be foraged in Calico Desert year-round. They also have a chance to appear in Garbage Cans after unlocking the Desert.,"Cactus Fruit can be foraged in the Calico Desert year-round. It spawns equally with Coconuts, at an average rate of two forageable items per night.",PASS
